,#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
0,1,Adilabad,1.0,ST,Telangana,Godam Nagesh,Telangana Rashtra Samithi,1386233.0,1045839.0,75.4,171290.0,16.4
1,2,Agra,18.0,SC,Uttar Pradesh,Dr. Ram Shankar Katheria,Bharatiya Janta Party,1814739.0,1070400.0,59.0,300263.0,28.1
2,3,Ahmadnagar,37.0,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1699408.0,1062318.0,62.5,209122.0,19.7
3,4,Ahmedabad East,7.0,GEN,Gujarat,Paresh Rawal,Bharatiya Janta Party,1601832.0,985525.0,61.5,326633.0,33.1
4,5,Ahmedabad West,8.0,SC,Gujarat,Dr. Kirit P Solanki,Bharatiya Janta Party,1534400.0,964609.0,62.9,320311.0,33.2
5,6,Ajmer,13.0,GEN,Rajasthan,Sanwar Lal Jat,Bharatiya Janta Party,1683292.0,1156314.0,68.7,171983.0,14.9
6,7,Akbarpur,44.0,GEN,Uttar Pradesh,Devendra Singh @ Bhole Singh,Bharatiya Janta Party,1768623.0,971375.0,54.9,278997.0,28.7
7,8,Akola,6.0,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1646463.0,978491.0,59.4,203116.0,20.8
8,9,Alappuzha,15.0,GEN,Kerala,K C Venugopal,Indian National Congress,1271324.0,997464.0,78.5,19407.0,1.9
9,10,Alathur,9.0,SC,Kerala,P.K.Biju,Communist Party Of India (Marxist),1216351.0,927228.0,76.2,37312.0,4.0
10,11,Aligarh,15.0,GEN,Uttar Pradesh,Satish Kumar,Bharatiya Janta Party,1793126.0,1064357.0,59.4,286736.0,26.9
11,12,Alipurduars,2.0,ST,West Bengal,Dasrath Tirkey,All India Trinamool Congress,1470911.0,1223566.0,83.2,21397.0,1.7
12,13,Allahabad,52.0,GEN,Uttar Pradesh,Shyama Charan Gupta,Bharatiya Janta Party,1666569.0,891582.0,53.5,62009.0,7.0
13,14,Almora,3.0,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1254328.0,656525.0,52.3,95690.0,14.6
14,15,Alwar,8.0,GEN,Rajasthan,Chand Nath,Bharatiya Janta Party,1628067.0,1062305.0,65.3,283895.0,26.7
15,16,Amalapuram,1.0,SC,Andhra Pradesh,Dr Pandula Ravindra Babu,Telugu Desam,1357866.0,1120927.0,82.6,120576.0,10.8
16,17,Ambala,1.0,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1692227.0,1218995.0,72.0,340074.0,27.9
17,18,Ambedkar Nagar,55.0,GEN,Uttar Pradesh,Hari Om Pandey,Bharatiya Janta Party,1718774.0,1034404.0,60.2,139429.0,13.5
18,19,Amethi,37.0,GEN,Uttar Pradesh,Rahul Gandhi,Indian National Congress,1669843.0,874625.0,52.4,107903.0,12.3
19,20,Amravati,7.0,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1611365.0,1004061.0,62.3,137932.0,13.7
20,21,Amreli,14.0,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1486286.0,808816.0,54.4,156232.0,19.3
21,22,Amritsar,2.0,GEN,Punjab,Captain Amarinder Singh,Indian National Congress,1477262.0,1007196.0,68.2,102770.0,10.2
22,23,Amroha,9.0,GEN,Uttar Pradesh,Kanwar Singh Tanwar,Bharatiya Janta Party,1544242.0,1095860.0,71.0,158214.0,14.4
23,24,Anakapalli,2.0,GEN,Andhra Pradesh,Muttamsetti Srinivasa Rao (AVANTHI),Telugu Desam,1401474.0,1148072.0,81.9,47932.0,4.2
24,25,Anand,16.0,GEN,Gujarat,Dilip Patel,Bharatiya Janta Party,1496859.0,970894.0,64.9,63426.0,6.5
25,26,Anandpur Sahib,6.0,GEN,Punjab,Prem Singh Chandumajra,Shiromani Akali Dal,1564721.0,1086563.0,69.4,23697.0,2.2
26,27,Anantapur,3.0,GEN,Andhra Pradesh,J.C. Divakar Reddi,Telugu Desam,1536912.0,1205054.0,78.4,61269.0,5.1
27,28,Anantnag,3.0,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,1301023.0,375279.0,28.8,65417.0,17.4
28,29,Andaman And Nicobar Islands,1.0,GEN,Andaman & Nicobar,Bishnu Pada Ray,Bharatiya Janta Party,269360.0,190328.0,70.7,7812.0,4.1
29,30,Aonla,24.0,GEN,Uttar Pradesh,Dharmendra Kumar,Bharatiya Janta Party,1653577.0,995641.0,60.2,138429.0,13.9
30,31,Arakkonam,7.0,GEN,Tamil Nadu,"Hari, G.",All India Anna Dravida Munnetra Kazhagam,1401545.0,1089052.0,77.7,240766.0,22.1
31,32,Arambagh,29.0,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1600293.0,1361934.0,85.1,346845.0,25.5
32,33,Arani,12.0,GEN,Tamil Nadu,V.Elumalai,All India Anna Dravida Munnetra Kazhagam,1369668.0,1096046.0,80.0,243844.0,22.2
33,34,Araria,9.0,GEN,Bihar,Tasleem Uddin,Rashtriya Janata Dal,1587348.0,975811.0,61.5,146504.0,15.0
34,35,Arrah,32.0,GEN,Bihar,Raj Kumar Singh,Bharatiya Janta Party,1832332.0,893213.0,48.8,135870.0,15.2
35,36,Aruku,4.0,ST,Andhra Pradesh,Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,1272724.0,909614.0,71.5,91398.0,10.0
